rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,regiao,idioma,termo
11,🚨ATENÇÃO Cuidado com a BIPA! Muitas Reclamações  –não Vale a Pena! #BIPA #bitcoinbrasil,https://www.youtube.com/watch?v=IF9SmedVDSg,IF9SmedVDSg,Código de Davi ,UCkXUkBQrA_YefxtnIkqa9fw,2025-02-18T00:30:51Z,ALERTA! NÃO USE A BIPA ANTES DE VER ESTE VÍDEO Se você está pensando em usar o aplicativo Bipa para comprar ...,12994,272,0,62,0,PT1M12S,hd,false,"#Bitcoin, #Criptomoedas, #Binance, #Bipa, #BitcoinBrasil, #Investimento, #Crypto, #CarteiraBitcoin, #MuunWallet, #ColdWallet",25,br,pt,bipa
12,Comprando Bitcoin no Bipa,https://www.youtube.com/watch?v=KCQD7wBBfXU,KCQD7wBBfXU,WISK CRYPTO,UClIBPozguBnupYLXkAEEaOg,2024-11-05T00:13:30Z,Aprendendo a comprar Bitcoin no Bipa #bipa #bitcoin Eu uso a conta digital da Bipa para comprar Bitcoin com o Pix. Abra sua ...,3019,86,0,7,0,PT48S,hd,false,,22,br,pt,bipa
13,O Cartão da Bipa,https://www.youtube.com/watch?v=XJt3W4KAzQc,XJt3W4KAzQc,Bipa,UCw_fgtH7-UW3FA6vLZWay6w,2025-06-25T20:00:31Z,"Para mais conteúdo sobre Bitcoin, siga o canal da Bipa no youtube ou instagram: @usebipa.",1701,30,0,0,0,PT26S,hd,false,"BTC, Bitcoin, Bipa",27,br,pt,bipa
14,BIPA: Como comprar Bitcoin SEM TAXA e sacar GRÁTIS pra sua carteira,https://www.youtube.com/watch?v=6LsoYCS0Zzo,6LsoYCS0Zzo,Cortes Investir é pra você [OFICIAL],UCdgGQ9DIn2tS7jCr5pB8EuA,2025-07-24T20:00:08Z,"Ganhe até R$100 em Bitcoin na Bipa → https://bit.ly/Bipa-IepVC Use o código ""INVESTIREPRAVOCE"" e ganhe até 100 reais em ...",2627,139,0,18,0,PT14M38S,hd,false,"Investir é pra você, investir é pra você, IepVC, bitcoin, comprar bitcoin, melhor app para bitcoin, coinbase, bipa, coinbase vs bipa, investir em bitcoin",27,br,pt,bipa
15,🛑 - CARTÃO BIPA DANDO BITCOIN? COMPRA SIMPLIFICADA E BITCOIN PARA AUMENTAR O LIMITE!,https://www.youtube.com/watch?v=tjyBEnmWwaY,tjyBEnmWwaY,Bitnoob,UCbMr3R6Azb6GSvzoGvn2BCA,2025-05-12T13:51:59Z,Links Uteis ✓ ▻ Peça seu cartão BIPA: https://bipa.app/convite/BITNOOB 00:00 - Introdução. 01:15 - Conhecendo o App da BIPA.,2970,215,0,36,0,PT12M40S,hd,false,"bipa, cartão bipa, como usar bipa, bipa confiavel, saque bipa, cartao de bitcoin, cartao cripto, bitcoin cartao, comprar bitcoin, como comprar bitcoin",27,br,pt,bipa
16,Como COMPRAR Bitcoin e ENVIAR para sua carteira GRÁTIS e fácil,https://www.youtube.com/watch?v=6BytsUNAK2U,6BytsUNAK2U,Area Bitcoin,UC7PL5GpOZFTjDAl9BSas0eA,2024-04-02T15:17:44Z,"Abra sua conta na Bipa: https://bipa.app/convite/areabitcoin Use o código ""areabitcoin"" e ganhe até 100 reais em bitcoin como ...",214851,13983,0,950,0,PT9M29S,hd,false,"carol souza, kaká furlan, criptomoedas, bitcoin, area bitcoin, tudo sobre bitcoin hoje, curso bitcoin, aprender sobre bitcoin, BTC, investir em bitcoin",27,br,pt,bipa
17,COMO TRANSFERIR BTC DA BLUEWALLET PARA A BIPA,https://www.youtube.com/watch?v=t8r5rV3mi_k,t8r5rV3mi_k,Discípulo de Satoshi,UCwxriWld-EKfP_R50GBvXyA,2024-08-16T21:30:04Z,SE PROTEJA HOJE: Aprenda a usar Bitcoin para se blindar do Estado e construir a sua liberdade financeira: ...,17496,1128,0,164,0,PT6M49S,hd,false,"bitcoin bluewallet bipa, bitcoin, bipa, blue wallet, bluewallet, como transferir bitcoin para corretora, enviar bitcoin para corretora, como enviar bitcoin da carteira para corretora, como enviar bitcoin da carteira para exchange, como transferir bitcoin da blockchain para conta bancaria",27,br,pt,bipa
18,Como comprar Bitcoin na Bipa #bitcoin #criptomoedas #criptonoticias,https://www.youtube.com/watch?v=z7361r2J_og,z7361r2J_og,Elidio Segundo - BLINDADO COM BITCOIN,UCzrNw5b3X7b-GMvvUztvxnA,2025-04-02T23:13:15Z,,4800,335,0,17,0,PT2M58S,hd,false,,27,br,pt,bipa
19,Fez 4º série e conseguiu instalar  o Bipa #renato38tão #bitcoin ##r38tao  #renatoamoedo #ouro #bipa,https://www.youtube.com/watch?v=6qseThwN0kc,6qseThwN0kc,Stillo3oitao,UC1g0GEjKwsABzwMy5bCyEgg,2025-07-10T11:41:08Z,RenatoTrezoitãoPodcast.,1448,31,0,0,0,PT25S,hd,false,,27,br,pt,bipa
20,POR ISSO EU COMPRO BITCOIN PELA BIPA!,https://www.youtube.com/watch?v=dLbFMic1ZA8,dLbFMic1ZA8,Investe1tempo,UCmN9x6KJZg9MLXJGOavR1Ig,2024-10-09T21:00:31Z,"OS MELHORES ATIVOS NA COMUNIDADE: https://www.investe1tempo.com/rendafutura Fala galera, no vídeo de hoje eu vou ...",23425,882,0,148,0,PT4M24S,hd,false,"bitcoin, comprar bitcoin, onde comprar bitcoin, como comprar bitcoin, usdt, comprar usdt, onde comprar usdt, bipa, vale a pena investir pela bipa, vale a pena comprar bitcoin pela bipa",27,br,pt,bipa
21,⚡ Binance e BIPA criaram um canal Lightning,https://www.youtube.com/watch?v=_tfcy3n_XQM,_tfcy3n_XQM,Denny Torres,UCxfUF7Kkr9JMFe8HzYeRNjA,2024-01-19T15:20:35Z,binance #bipa #lightning.,6883,394,0,105,0,PT59S,hd,false,,27,br,pt,bipa
22,COMO RESGATAR DINHEIRO DA BIPA!,https://www.youtube.com/watch?v=XlO-0PSDSXA,XlO-0PSDSXA,Investe1tempo,UCmN9x6KJZg9MLXJGOavR1Ig,2025-04-02T21:00:35Z,"Fala galera, no vídeo de hoje eu vou mostrar como vender seus bitcoins e resgatar seu dinheiro na Bipa! A Bipa é a plataforma ...",2033,99,0,10,0,PT2M35S,hd,false,"resgate bipa, como resgatar dinheiro da bipa, como vender bitcoin bipa, como sacar dinheiro da bipa, como resgatar dinheiro bipa, como sacar dinheiro bipa, saque bipa, como vender bitcoin e sacar dinheiro bipa, como vender bitcoin e sacar bipa, como vender bitcoin e resgatar dinheiro bipa",27,br,pt,bipa
23,Bipa Bitcoin Golpe bloqueando a conta de clientes.,https://www.youtube.com/watch?v=7m-idZ42PQ4,7m-idZ42PQ4,Detetive red pill | Canal reserva,UCouosd4C4aafj1lM5GkrAsw,2024-09-22T14:55:25Z,Doe qualquer valor para: bc1qqmdde5glaznyvqnrc3403cqwztw68mcsp3myx9 Wallet of Satoshi: ...,17208,481,0,174,0,PT1M1S,hd,false,"Bipa, Bitcoin, comprar Bitcoin pela BIPA, cadastro na Bipa, Bipa Bitcoin, golpe Bipa, Bipa encerrou minha conta",22,br,pt,bipa
24,Chegou o Cartão Bipa! Acumule cashback em Bitcoin em toda compra,https://www.youtube.com/watch?v=7PGjNEL9l0g,7PGjNEL9l0g,Bipa,UCw_fgtH7-UW3FA6vLZWay6w,2025-03-20T15:06:44Z,Peça já o seu Cartão Bipa: https://marketing.bipa.app/yH6h/cartaobipa Lançamos o melhor cartão de crédito para quem usa ...,1233,75,0,20,0,PT31S,hd,false,,27,br,pt,bipa
25,Por que PAREI de USAR A BIPA para COMPRAR e VENDER BITCOIN?,https://www.youtube.com/watch?v=DwZPhVda53g,DwZPhVda53g,ALTIERE - Estude Bitcoin,UCQdWnL3KB6oPLiGheBfhOTw,2025-11-10T23:00:16Z,EBOOK BITCOIN PARA INICIANTES - LANÇAMENTO: https://go.hotmart.com/R102965115E Aprenda sobre Bitcoin com ...,7341,866,0,140,0,PT14M43S,hd,false,"bitcoin, criptomoedas, digital nomad, bitcoin hoje, como comprar bitcoin, estudar bitcoin, bitcoin mindset, estude bitcoin ou se arrependa amargamente, futuro do dinheiro, como ganhar dinheiro online",27,br,pt,bipa
