fonte,tipo,termo,conteudo,relevancia,regiao,cliente,fonte_busca,categoria,data_coleta,valor,url,buscador,posicao,canal,video_id,publicado_em,autor,likes,video_titulo,desenvolvedor,rating,installs,app_id
Google Suggest,sugestao,bitcoin,bitcoin agora em real,559.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin app,558.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ações,557.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin a peer-to-peer electronic cash system,556.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin a moeda na era digital pdf,555.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ano a ano,554.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin analise,553.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin a 10 anos atras,552.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin agora usd,551.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ainda vale a pena,550.0,br,chrome,web,expansao_a,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin bank é seguro,1250.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin bank,1000.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin brl,700.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin binance,650.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin bank é fraude,601.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin brasil,600.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin btc,558.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin bear market,557.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin blockchain,556.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin black pill renato amoedo pdf,555.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin b3,554.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin bitcoin,553.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin bank reclame aqui,552.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin brl tradingview,551.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin banco inter,550.0,br,chrome,web,expansao_b,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cotação,1250.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cash,650.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin caindo,602.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cotação dólar,601.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin como funciona,600.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin criptomoeda,559.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin caiu,558.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin coinmarketcap,557.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin como comprar,556.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin core,555.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin como investir,554.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cotação hoje,553.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cai,552.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cash hoje,551.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin coinbase,550.0,br,chrome,web,expansao_c,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar,1250.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar hoje,1200.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dominance,601.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar agora,600.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin derretendo,560.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin de hoje,559.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin despencou,558.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar investing,557.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dólar tempo real,556.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dólar grafico,555.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin down,554.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin de ouro,553.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dominance chart,552.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin desvaloriza,551.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin de agora,550.0,br,chrome,web,expansao_d,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em dolar,1250.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em real,800.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em dolar hoje,601.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em queda,600.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2010,560.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em tempo real,559.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em reais,558.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2015,557.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2012,556.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2025,555.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2011,554.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2013,553.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2014,552.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2019,551.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2020,550.0,br,chrome,web,expansao_e,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fear and greed,1250.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fear and greed index,1150.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin futuro,750.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fed,603.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fisico,602.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin faucet,601.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fear,600.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin foi criado quando,557.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fear index,556.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin forum,555.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin futuro b3,554.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin foto,553.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dólar,552.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fundo,551.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin free,550.0,br,chrome,web,expansao_f,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin grafico,1250.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin grafico dolar,601.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gpt bot,600.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin graph,561.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gold,560.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin github,559.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gratis,558.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gráfico histórico,557.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gpt bot é confiável,556.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gráfico agora,555.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gpt bot é real,554.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin grafico tempo real,553.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gráfico hoje,552.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje,551.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin google finance,550.0,br,chrome,web,expansao_g,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje,1251.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar,1250.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje real,601.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar gráfico,600.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hyper,560.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin historico,559.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje cotação,558.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje tempo real,557.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje real agora,556.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje em reais,555.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin halving,554.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje agora,553.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar agora,552.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin heatmap,551.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar real,550.0,br,chrome,web,expansao_h,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin in dollar,1150.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin in usd,603.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin investidor10,602.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin investimento,601.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin imposto de renda,600.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin inicio,559.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin imagem,558.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin index,557.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin imposto,556.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin infomoney,555.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin icon,554.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin itau,553.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin indice do medo,552.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ira subir,551.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin investing.com,550.0,br,chrome,web,expansao_i,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje,601.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin jogo,600.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin janeiro 2025,562.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ja era,561.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin janeiro 2024,560.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin jogo do tigre,559.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje dólar,558.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin jobs,557.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin ja chegou a quanto,556.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin jp morgan,555.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin janeiro 2023,554.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje usd,553.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin janeiro 2026,552.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin juros eua,551.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje real,550.0,br,chrome,web,expansao_j,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin knots,1250.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kurs,850.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kevin durant,700.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin keeper,602.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kraken,601.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin krw,600.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin knots github,556.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin key,555.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin king,554.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin knots vs core,553.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin keeper wallet,552.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kurs euro,551.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin kurs dollar,550.0,br,chrome,web,expansao_k,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin liquidation heatmap,1050.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin logo,900.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin login,850.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin lightning,750.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin lançamento,601.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin livro,600.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin liquidation map,558.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin live,557.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin lixao,556.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin liquidation,555.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin lightning wallet,554.0,br,chrome,web,expansao_l,2025-12-12 00:00:49,,,,,,,,,,,,,,
