"data","valor"
"2025-03-01","27"
"2025-04-01","30"
"2025-05-01","32"
"2025-06-01","34"
"2025-07-01","34"
"2025-08-01","34"
"2025-09-01","37"
"2025-10-01","65"
"2025-11-01","50"
"2025-12-01","35"
