rank,titulo,autores,autores_lista,ano,link,resumo,citacoes,referencias,venue,fields_of_study,publication_types,publication_date,journal,paper_id,external_ids,is_open_access,open_access_pdf,termo,tentativa
11,Delirium in trauma patients: a 1-year prospective cohort study of 2026 patients,"J. Marquetand, Samuel Gehrke, L. Bode, Simon Fuchs, F. Hildenbrand, J. Ernst, R. von Känel, Soenke Boettger","['J. Marquetand', 'Samuel Gehrke', 'L. Bode', 'Simon Fuchs', 'F. Hildenbrand', 'J. Ernst', 'R. von Känel', 'Soenke Boettger']",2021,https://www.semanticscholar.org/paper/e0471e31990ac2ee903cf82a08d974a55b81c459,"Delirium in trauma surgery is common, especially post-operatively, but medical characteristics, risk factors and residence post-discharge have not comprehensively been investigated in all trauma patients. Over 1 year, 2026 trauma patients were prospectively screened for delirium with the following tools: Delirium Observation screening scale (DOS), Intensive Care Delirium Screening Checklist (ICDSC) and a DSM (Diagnostic and Statistical Manual)-5, nursing tool (ePA-AC) construct. Risk factors—predisposing und precipitating—for delirium were assessed via multiple regression analysis. Of 2026 trauma patients, 440 (21.7%) developed delirium, which was associated with an increased risk of assisted living (OR 6.42, CI 3.92–10.49), transfer to nursing home (OR 4.66, CI 3.29–6.6), rehabilitation (OR 3.96, CI 3.1–5.1), or death (OR 70.72, CI 22–227.64). Intensive care management (OR 18.62, CI 14.04–24.68), requirement of ventilation (OR 32.21, CI 21.27–48.78), or its duration (OR 67.22, CI 33.8–133.71) all increased the risk for developing delirium. Relevant predisposing risk factors were dementia (OR 50.92, CI 15.12–171.45), cardiac insufficiency (OR 11.76, CI 3.6–38.36), and polypharmacy (OR 5.9, CI 4.01–8.68).Relevant precipitating risk factors were brain edema (OR 40.53, CI 4.81–341.31), pneumonia (OR 39.66, CI 8.89–176.93) and cerebral inflammation (OR 21.74, CI 2.34–202.07). Delirium in trauma patients is associated with poor outcome as well as with intensive care management and various predisposing and/or precipitating factors. Three quarters of patients who had undergone delirium were not able to live independently at home any more.",24,28,European Journal of Trauma and Emergency Surgery,Medicine,JournalArticle,2021-02-04,European Journal of Trauma and Emergency Surgery,e0471e31990ac2ee903cf82a08d974a55b81c459,"{""PubMedCentral"": ""9001539"", ""DOI"": ""10.1007/s00068-021-01603-5"", ""CorpusId"": 231794233, ""PubMed"": ""33538844""}",True,https://link.springer.com/content/pdf/10.1007/s00068-021-01603-5.pdf,natal 2026,1
12,Calibration of neutron star natal kick velocities to isolated pulsar observations,"Veome Kapil, I. Mandel, E. Berti, B. Müller","['Veome Kapil', 'I. Mandel', 'E. Berti', 'B. Müller']",2022,https://www.semanticscholar.org/paper/5fd328cc1e67dcf45677e530180ac64fe4192d0b,"
 Current prescriptions for supernova natal kicks in rapid binary population synthesis simulations are based on fits of simple functions to single pulsar velocity data. We explore a new parameterization of natal kicks received by neutron stars in isolated and binary systems developed by Mandel & Müller, which is based on 1D models and 3D supernova simulations, and accounts for the physical correlations between progenitor properties, remnant mass, and the kick velocity. We constrain two free parameters in this model using very long baseline interferometry velocity measurements of Galactic single pulsars. We find that the inferred values of natal kick parameters do not differ significantly between single and binary evolution scenarios. The best-fit values of these parameters are vns = 520 km s−1 for the scaling pre-factor for neutron star kicks, and σns = 0.3 for the fractional stochastic scatter in the kick velocities.",16,0,Monthly notices of the Royal Astronomical Society,Physics,None,2022-09-19,Monthly Notices of the Royal Astronomical Society,5fd328cc1e67dcf45677e530180ac64fe4192d0b,"{""ArXiv"": ""2209.09252"", ""DOI"": ""10.1093/mnras/stad019"", ""CorpusId"": 252383630}",True,https://arxiv.org/pdf/2209.09252,natal 2026,1
13,"121 Enhancing data utilization through data for improvement visualization. Learnings from Ethekwini district, KwaZulu-Natal. South Africa","Mthabela Sizwe, Ncama Zanele, Samuel Thela, Andile Ngcobo, Miles Matlala, Neziswa Mdaka, Lauren De Kock","['Mthabela Sizwe', 'Ncama Zanele', 'Samuel Thela', 'Andile Ngcobo', 'Miles Matlala', 'Neziswa Mdaka', 'Lauren De Kock']",2025,https://www.semanticscholar.org/paper/8dc34cc366963d6d21ec14924055dac3322dd8ad,,0,0,"121 Enhancing data utilization through data for improvement visualization. Learnings from Ethekwini district, KwaZulu-Natal. South Africa",None,None,2025-05-01,"121 Enhancing data utilization through data for improvement visualization. Learnings from Ethekwini district, KwaZulu-Natal. South Africa",8dc34cc366963d6d21ec14924055dac3322dd8ad,"{""DOI"": ""10.1136/bmjoq-2025-qshu.121"", ""CorpusId"": 278791992}",False,,natal 2026,1
14,"Risk Factors and Mitigation Strategies for Pancreatic Fistula After Distal Pancreatectomy: Analysis of 2026 Resections From the International, Multi-institutional Distal Pancreatectomy Study Group","B. Ecker, M. McMillan, V. Allegrini, C. Bassi, J. Beane, R. Beckman, S. Behrman, E. Dickson, M. Callery, J. Christein","['B. Ecker', 'M. McMillan', 'V. Allegrini', 'C. Bassi', 'J. Beane', 'R. Beckman', 'S. Behrman', 'E. Dickson', 'M. Callery', 'J. Christein', 'J. Drebin', 'R. Hollis', 'M. House', 'N. Jamieson', 'A. Javed', 'T. Kent', 'M. Kluger', 'Stacy J. Kowalsky', 'L. Maggino', 'G. Malleo', 'V. Valero', 'L. Velu', 'A. Watkins', 'elliot k fishman', 'A. Zureikat', 'C. Vollmer']",2017,https://www.semanticscholar.org/paper/0dcb1598a4b63d77fe54a0bfc8f97477451c5e19,"Objective: To identify a clinical fistula risk score following distal pancreatectomy. Background: Clinically relevant pancreatic fistula (CR-POPF) following distal pancreatectomy (DP) is a dominant contributor to procedural morbidity, yet risk factors attributable to CR-POPF and effective practices to reduce its occurrence remain elusive. Methods: This multinational, retrospective study of 2026 DPs involved 52 surgeons at 10 institutions (2001–2016). CR-POPFs were defined by 2016 International Study Group criteria, and risk models generated using stepwise logistic regression analysis were evaluated by c-statistic. Mitigation strategies were assessed by regression modeling while controlling for identified risk factors and treating institution. Results: CR-POPF occurred following 306 (15.1%) DPs. Risk factors independently associated with CR-POPF included: age (<60 yrs: OR 1.42, 95% CI 1.05–1.82), obesity (OR 1.54, 95% CI 1.19–2.12), hypoalbuminenia (OR 1.63, 95% CI 1.06–2.51), the absence of epidural anesthesia (OR 1.59, 95% CI 1.17–2.16), neuroendocrine or nonmalignant pathology (OR 1.56, 95% CI 1.18–2.06), concomitant splenectomy (OR 1.99, 95% CI 1.25–3.17), and vascular resection (OR 2.29, 95% CI 1.25–3.17). After adjusting for inherent risk between cases by multivariable regression, the following were not independently associated with CR-POPF: method of transection, suture ligation of the pancreatic duct, staple size, the use of staple line reinforcement, tissue patches, biologic sealants, or prophylactic octreotide. Intraoperative drainage was associated with a greater fistula rate (OR 2.09, 95% CI 1.51–3.78) but reduced fistula severity (P < 0.001). Conclusions: From this large analysis of pancreatic fistula following DP, CR-POPF occurrence cannot be reliably predicted. Opportunities for developing a risk score model are limited for performing risk-adjusted analyses of mitigation strategies and surgeon performance.",169,37,Annals of Surgery,Medicine,JournalArticle,2017-08-01,Annals of Surgery,0dcb1598a4b63d77fe54a0bfc8f97477451c5e19,"{""MAG"": ""2752816042"", ""DOI"": ""10.1097/SLA.0000000000002491"", ""CorpusId"": 23316585, ""PubMed"": ""28857813""}",False,,natal 2026,1
15,Forecasting Turkey's cattle and sheep manure based biomethane potentials till 2026,"M. Melikoğlu, Zeynep Kubra Menekse","['M. Melikoğlu', 'Zeynep Kubra Menekse']",2020,https://www.semanticscholar.org/paper/3da665fa430556369fc9fe78b7106b91083b77a6,,54,85,,Environmental Science,None,,Biomass & Bioenergy,3da665fa430556369fc9fe78b7106b91083b77a6,"{""MAG"": ""2992266432"", ""DOI"": ""10.1016/j.biombioe.2019.105440"", ""CorpusId"": 212813506}",False,,natal 2026,1
16,Does the Olympic Agenda 2020 Have the Power to Create a New Olympic Heritage? An Analysis for the 2026 Winter Olympic Games Bid,"M. Schnitzer, Lukas Haizinger","['M. Schnitzer', 'Lukas Haizinger']",2019,https://www.semanticscholar.org/paper/7c56b8bf912aaeb098983a49d6ed2b4771b46b46,"The International Olympic Committee (IOC) lacks candidates willing to host the Olympic Games (OG) and has reacted to this situation by introducing the Olympic Agenda 2020 (OA)—a reform process making the OG more attractive for potential hosts. This study analyzes whether the OA plays a crucial role for the future of the OG. We, therefore, examined the official IOC documents and feasibility studies of the 2026 Winter Olympic Games (WOG) bidders and conducted qualitative interviews with experts in the field (n = 15). The results reveal that the 2026 WOG hosts plan to reduce the budgets for the organization and the infrastructure costs in the host regions. As a consequence, the number and nature of the sites and venues as well as the distances between them will increase. This means that the future Olympic heritage (OH) may lay less in iconic buildings but rather focus on the attempt to fulfil the city’s long-term strategies. Our analyses extend the literature by: (1) analysing the OA in view of future OG, (2) comparing experiences from past OG with those of current bidders, (3) integrating expert knowledge thanks to qualitative interviews and, finally, (4) considering new heritage concepts.",45,90,Sustainability,Economics,None,2019-01-16,Sustainability,7c56b8bf912aaeb098983a49d6ed2b4771b46b46,"{""MAG"": ""2909432926"", ""DOI"": ""10.3390/SU11020442"", ""CorpusId"": 159125952}",True,https://www.mdpi.com/2071-1050/11/2/442/pdf?version=1547620439,natal 2026,1
17,Orientações às gestantes no pré-natal: a importância do cuidado compartilhado na atenção primária em saúde,"B. Marques, Y. Tomasi, Suelen dos Santos Saraiva, A. F. Boing, D. Geremia","['B. Marques', 'Y. Tomasi', 'Suelen dos Santos Saraiva', 'A. F. Boing', 'D. Geremia']",2021,https://www.semanticscholar.org/paper/66ef4dbd7aab205c515f810d3190c422d28f70d0,"Objective: To analyze the association between the adequacy of the guidelines received during prenatal care and the professional who assisted the pregnant woman in most consultations in Primary Health Care. Method: 3,111 puerperal women who underwent prenatal care by the Unified Health System in the State of Santa Catarina in 2019 participated, through a questionnaire applied in a hospital environment up to 48 hours postpartum. Association between the main exposure variable and covariates with the outcome according to the professional who carried out the prenatal care was analyzed. Results: The most frequent guidelines were the signs of risks during pregnancy (80.3%) and risks of self-medication (76.9%). Prevalences below 50% were observed in the guidelines on adequate breastfeeding management (45.9%) and the possibility of visiting the maternity ward before delivery (38.2%); having received all guidelines at least once during prenatal care was 18.4%. Pregnant women assisted in most consultations by physicians and nurses had a 41% greater chance of adequacy in the guidelines compared to those assisted exclusively by physicians. Conclusions and implications for practice: The prevalence of guidelines given by health professionals for pregnant women was higher when prenatal care was more shared between nurses and physicians in comparison to the majority of care provided by professionals from only one profession.",98,22,,Medicine,None,,Escola Anna Nery,66ef4dbd7aab205c515f810d3190c422d28f70d0,"{""MAG"": ""3083210543"", ""DOI"": ""10.1590/2177-9465-ean-2020-0098"", ""CorpusId"": 224851760}",True,https://www.scielo.br/j/ean/a/hR4MwpCd88cvTfs9ksLJGFs/?lang=pt&format=pdf,natal 2026,1
18,Haemoglobinopathies in India: estimates of blood requirements and treatment costs for the decade 2017–2026,"Sujata Sinha, T. Seth, R. Colah, A. Bittles","['Sujata Sinha', 'T. Seth', 'R. Colah', 'A. Bittles']",2019,https://www.semanticscholar.org/paper/68877a4c20eb27143ffb4a0597b397a336928b98,,31,29,Journal of Community Genetics,"Business, Medicine",JournalArticle,2019-02-12,Journal of Community Genetics,68877a4c20eb27143ffb4a0597b397a336928b98,"{""MAG"": ""2914004160"", ""DOI"": ""10.1007/s12687-019-00410-1"", ""CorpusId"": 60441856, ""PubMed"": ""30756298""}",True,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6962406,natal 2026,1
19,Carbon Footprint of Electricity Generation in Brazil: An Analysis of the 2016–2026 Period,"M. V. Barros, C. M. Piekarski, A. C. Francisco","['M. V. Barros', 'C. M. Piekarski', 'A. C. Francisco']",2018,https://www.semanticscholar.org/paper/bd2a69da81529a0f8dd16573dfd38e9d7468637e,"The present paper aims to evaluate the past and future environmental performance of the electricity generation in Brazil in terms of Global Warming Potential (GWP) and Global Temperature Potential (GTP). To that end, the Life Cycle Assessment (LCA) tool was used to evaluate the system’s environmental performance, based on ISO 14040 and ISO 14044, using the Ecoinvent v 3.3 database. This study provides data on global warming by the GWP and GTP 100 years impact category. The functional unit and reference flow is kWh. The model was applied to the electricity generation in Brazil for the years 2016–2026 using Umberto NXT Universal software. The results indicate that the greatest environmental impacts lie on generation sources such as oil, natural gas, hydropower and hard coal. Carbon dioxide was the main contributor to atmospheric emissions in the life cycle of the Brazilian electricity matrix in 2016 and 2026. The total potential impact (and per kWh) is expected to decrease until 2021. The Brazilian electricity matrix is expected to be less pollutant in terms of carbon footprint until 2021. The study can contribute to directing public policies, promoting development actions and encouraging different electricity matrices.",53,37,Energies,Engineering,None,2018-06-01,Energies,bd2a69da81529a0f8dd16573dfd38e9d7468637e,"{""MAG"": ""2807012682"", ""DOI"": ""10.3390/EN11061412"", ""CorpusId"": 116474596}",True,https://www.mdpi.com/1996-1073/11/6/1412/pdf?version=1527821276,natal 2026,1
20,Plano Decenal de Expansão de Energia 2026,B. E. D. P. Energética,['B. E. D. P. Energética'],2017,https://www.semanticscholar.org/paper/32b48d158dccb829ed8e16081cb6d124f22a0793,,220,0,,None,None,2017-12-31,,32b48d158dccb829ed8e16081cb6d124f22a0793,"{""MAG"": ""2788651915"", ""CorpusId"": 188620706}",False,,natal 2026,1
